freq_code,freq_label,c_resid_code,c_resid_label,unit_code,unit_label,nace_r2_code,nace_r2_label,geo_code,geo_label,time_code,time_label,value
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-02,2022-02,62523.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-03,2022-03,49648.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-04,2022-04,58448.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-05,2022-05,47395.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-06,2022-06,55797.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-07,2022-07,66076.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-08,2022-08,64597.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-09,2022-09,59403.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-10,2022-10,45421.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-11,2022-11,47873.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2022-12,2022-12,67608.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-01,2023-01,46103.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-02,2023-02,62830.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-03,2023-03,57089.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-04,2023-04,54874.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-05,2023-05,50632.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-06,2023-06,56705.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-07,2023-07,63277.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-08,2023-08,61649.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-09,2023-09,61053.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-10,2023-10,49615.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-11,2023-11,56004.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2023-12,2023-12,65679.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-01,2024-01,44372.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-02,2024-02,62775.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-03,2024-03,64284.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-04,2024-04,50906.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-05,2024-05,51491.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-06,2024-06,56643.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-07,2024-07,63459.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-08,2024-08,67482.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-09,2024-09,56412.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-10,2024-10,54052.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-11,2024-11,69438.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2024-12,2024-12,73839.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-01,2025-01,53825.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-02,2025-02,77290.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-03,2025-03,74037.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-04,2025-04,54619.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-05,2025-05,49025.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-06,2025-06,49488.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-07,2025-07,64721.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-08,2025-08,68146.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-09,2025-09,54118.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-10,2025-10,49329.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-11,2025-11,57148.0
M,Monthly,DOM,Domestic country,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",MT,Malta,2025-12,2025-12,56051.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-01,2017-01,26847.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-02,2017-02,39547.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-03,2017-03,34974.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-04,2017-04,28290.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-05,2017-05,23109.0
M,Monthly,DOM,Domestic country,NR,Number,I551,Hotels and similar accommodation,MT,Malta,2017-06,2017-06,29740.0
