freq,unit,schedule,tra_cov,tra_meas,rep_airp\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDR	47148 	44062 	9028 	3483 	3353 	3638 	6181 	16834 	24397 	38859 	42686 	45811 	44970 	43368 	7133 	4598 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDS	881638 	826937 	490439 	487335 	400499 	390965 	491087 	692939 	782553 	891893 	859894 	1029689 	931491 	893886 	532091 	533744 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDV	519480 	584297 	287434 	235320 	201867 	192481 	254596 	420616 	439273 	440383 	503149 	517692 	521180 	607363 	304719 	251844 
M,PAS,TOT,INTL,PAS_CRD,DE_EDDW	120473 	134837 	82947 	84342 	70723 	69882 	89242 	109012 	124049 	122769 	138789 	142869 	129045 	138311 	83665 	81384 
M,PAS,TOT,INTL,PAS_CRD,DE_EDFH	177713 	168358 	133538 	152225 	133806 	132562 	163462 	188805 	194531 	195483 	202596 	224684 	204992 	217382 	134275 	159828 
M,PAS,TOT,INTL,PAS_CRD,DE_EDJA	309086 	313842 	229761 	258805 	233796 	201287 	277561 	314661 	325262 	339403 	338840 	386619 	355695 	358362 	245641 	289696 
M,PAS,TOT,INTL,PAS_CRD,DE_EDLP	94446 	109285 	19649 	5996 	6814 	7675 	20634 	59457 	67594 	80243 	97052 	99058 	100418 	105936 	17614 	6609 
M,PAS,TOT,INTL,PAS_CRD,DE_EDLV	218751 	209385 	106825 	110084 	104181 	113930 	139974 	199306 	229269 	232795 	231966 	246840 	230870 	237716 	135407 	142342 
M,PAS,TOT,INTL,PAS_CRD,DE_EDLW	292513 	314517 	220198 	238612 	219075 	211946 	231865 	242443 	268951 	293407 	307742 	336976 	313355 	327344 	228142 	240477 
M,PAS,TOT,INTL,PAS_CRD,DE_EDNY	23379 	20246 	5428 	5338 	9144 	6500 	8958 	9625 	17695 	28097 	23216 	28097 	25603 	25396 	11620 	12324 
M,PAS,TOT,INTL,PAS_CRD,DE_EDSB	187651 	188539 	119094 	134583 	105993 	106951 	148125 	198013 	212096 	230491 	237127 	260339 	234566 	233977 	128640 	159321 
M,PAS,TOT,INTL,PAS_CRD,DK_EKAH	42280 	41473 	17756 	19811 	14820 	17473 	19451 	28975 	38094 	42575 	44419 	43543 	40320 	36049 	20660 	20754 
M,PAS,TOT,INTL,PAS_CRD,DK_EKBI	398531 	389415 	224071 	218370 	203150 	207893 	237055 	199742 	244862 	268245 	329535 	289426 	277022 	257854 	185905 	155317 
M,PAS,TOT,INTL,PAS_CRD,DK_EKCH	2681610 	2620251 	2061575 	2075207 	1853937 	1890636 	2116393 	2538704 	2727368 	2964641 	3203965 	3053580 	2920028 	2892139 	2272906 	2326811 
M,PAS,TOT,INTL,PAS_CRD,DK_EKEB	3094 	3342 	2723 	2366 	1736 	1685 	1822 	2425 	2131 	2434 	2156 	1949 	2032 	2243 	1342 	1103 
M,PAS,TOT,INTL,PAS_CRD,DK_EKKA	273 	12 	136 	458 	60 	324 	95 	0 	237 	191 	0 	0 	284 	115 	455 	346 
M,PAS,TOT,INTL,PAS_CRD,DK_EKRK	476 	294 	335 	611 	205 	364 	222 	276 	657 	531 	314 	1179 	551 	400 	285 	202 
M,PAS,TOT,INTL,PAS_CRD,DK_EKRN	636 	1065 	0 	0 	0 	17 	210 	400 	1212 	0 	0 	0 	427 	1068 	210 	0 
M,PAS,TOT,INTL,PAS_CRD,DK_EKSB	621 	220 	27 	29 	29 	15 	34 	136 	718 	742 	594 	727 	581 	59 	589 	107 
M,PAS,TOT,INTL,PAS_CRD,DK_EKTS	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,DK_EKYT	74638 	72839 	37029 	35814 	37971 	40938 	44585 	45248 	57071 	65705 	76227 	68689 	69375 	60393 	34685 	32302 
M,PAS,TOT,INTL,PAS_CRD,EE_EETN	326879 	331275 	243792 	255898 	215512 	213283 	259478 	275273 	306616 	321290 	317706 	326998 	307117 	344252 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGAL	0 	1 	0 	150 	137 	0 	424 	54 	179 	174 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGAV	2302759 	2125036 	1486828 	1504023 	1307641 	1232903 	1600753 	1967755 	2206766 	2428017 	2636766 	2747289 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGBL	3718 	574 	0 	0 	0 	0 	0 	0 	3696 	5931 	6542 	7588 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGHI	161 	2 	0 	2 	0 	0 	0 	0 	0 	0 	11 	13 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGIK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGIO	6106 	1410 	294 	0 	0 	0 	0 	0 	4148 	10279 	8975 	10191 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGIR	1256497 	903110 	77722 	7224 	2850 	3786 	21549 	434436 	891909 	1223536 	1509726 	1602352 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKC	177 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKF	134940 	32798 	538 	0 	0 	0 	0 	8855 	76232 	140998 	183368 	186269 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKJ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKL	53069 	36122 	5308 	203 	73 	8 	3726 	13285 	34511 	53226 	62775 	65228 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKO	458954 	317404 	10711 	0 	0 	0 	181 	48452 	330970 	470397 	556775 	588677 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKP	38872 	6685 	0 	0 	0 	0 	0 	788 	11751 	34624 	45265 	49355 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKR	671932 	361248 	12391 	0 	0 	324 	3677 	139143 	409791 	692378 	866429 	911427 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	22 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKV	44505 	13485 	233 	0 	0 	0 	0 	3891 	17384 	47106 	50557 	55473 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGKZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGLE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGLM	8267 	2471 	0 	0 	0 	0 	0 	0 	3229 	7436 	7732 	7380 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGMG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGMK	170300 	49323 	857 	0 	0 	0 	305 	17269 	69465 	174531 	292971 	307447 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGML	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGMT	36214 	5824 	0 	0 	0 	0 	0 	1502 	15570 	35747 	41410 	42617 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGNX	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGPA	1042 	94 	0 	0 	0 	0 	0 	0 	268 	700 	607 	581 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGPL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGPZ	146589 	50921 	1679 	0 	0 	0 	179 	9695 	81110 	155932 	196859 	200424 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGRP	971858 	702459 	41313 	1497 	0 	5972 	14275 	294666 	713168 	967962 	1161880 	1214599 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGRX	30624 	12686 	0 	0 	0 	0 	0 	626 	15520 	30234 	39564 	39384 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGSA	508471 	325177 	12321 	4079 	3114 	2267 	5670 	122684 	357673 	527161 	645346 	621601 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGSK	98259 	13797 	204 	0 	0 	0 	0 	173 	45101 	109918 	149641 	151288 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGSM	56597 	16538 	244 	0 	0 	0 	0 	3575 	30825 	52602 	60522 	63273 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGSO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGSR	254017 	139016 	2980 	0 	0 	0 	903 	42225 	116655 	204519 	311560 	325056 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGST	5491 	3388 	0 	0 	13 	0 	0 	0 	1040 	2712 	2474 	2780 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGSY	1139 	0 	0 	0 	0 	0 	0 	0 	0 	1075 	834 	1095 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGTS	548234 	472170 	287936 	331362 	260510 	245483 	316044 	424491 	507179 	545160 	631487 	679621 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,EL_LGZA	385224 	139229 	1640 	0 	0 	0 	336 	25141 	216975 	393135 	503851 	511225 	: 	: 	: 	: 
M,PAS,TOT,INTL,PAS_CRD,ES_GCFV	344850 	395466 	431632 	408302 	407189 	419806 	482585 	413656 	336846 	354652 	405151 	411908 	369919 	416751 	430993 	403440 
M,PAS,TOT,INTL,PAS_CRD,ES_GCHI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,PAS,TOT,INTL,PAS_CRD,ES_GCLA	11095 	14588 	28993 	27273 	31915 	28992 	32824 	22466 	8984 	8411 	12471 	12220 	11583 	17472 	32963 	31804 
