freq,unit,schedule,tra_cov,tra_meas,rep_airp\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PL_EPMO	53573 	55395 	25300 	24502 	24966 	23828 	26588 	17706 	18119 	19235 	19855 	23599 	16937 	18233 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PL_EPPO	162393 	127154 	83496 	74871 	76308 	76924 	83740 	101270 	140458 	151594 	172847 	180364 	161366 	136716 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PL_EPRZ	65449 	38742 	30140 	31817 	31960 	32433 	42498 	44225 	56505 	72469 	82850 	77757 	74597 	48008 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PL_EPSC	22353 	26473 	17338 	22441 	15310 	0 	16586 	19960 	25045 	25215 	28534 	29317 	22550 	22050 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PL_EPSY	4316 	2745 	2805 	2451 	3838 	3992 	2961 	4117 	4436 	3174 	4931 	4655 	4143 	4494 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PL_EPWA	801884 	723830 	576523 	603118 	622675 	605766 	626858 	656749 	727109 	807993 	907692 	962341 	872268 	815759 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PL_EPWR	170431 	140572 	96725 	98595 	95058 	96874 	103261 	118444 	160520 	182834 	206825 	210701 	193798 	135359 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPAZ	3 	9 	5 	6 	14 	6 	12 	1 	0 	14 	16 	16 	18 	6 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPBG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPBJ	542 	31 	9 	239 	19 	12 	19 	23 	29 	230 	285 	383 	342 	199 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPCR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPCS	226 	214 	120 	125 	131 	91 	91 	177 	257 	210 	310 	268 	298 	292 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPFL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPFR	571929 	517809 	180694 	141220 	116140 	155764 	253460 	490995 	559001 	606081 	631633 	630662 	587570 	526112 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPGR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPHR	19 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	2 	0 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPLA	6411 	2037 	1636 	905 	884 	1378 	1930 	3241 	3386 	5044 	7721 	6949 	4783 	1628 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPMA	82522 	78770 	69617 	69128 	62990 	64352 	81330 	87236 	89921 	90284 	91228 	95144 	92131 	87791 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPPD	50491 	28188 	20607 	19825 	18962 	16576 	22596 	31950 	33977 	44701 	57990 	59888 	43678 	26160 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPPI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPPM	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPPR	360655 	327988 	221230 	245703 	203320 	216883 	264998 	338495 	361262 	400229 	427957 	453173 	418883 	367100 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPPS	1376 	1550 	4 	647 	811 	921 	794 	588 	33 	0 	200 	309 	181 	16 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPPT	1284397 	1226590 	1025302 	1049831 	988431 	898062 	1078437 	1196729 	1258217 	1261775 	1359230 	1376511 	1306899 	1277405 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPSJ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPVR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT_LPVZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO_LRBC	25531 	29463 	11769 	12747 	13383 	13219 	12919 	16481 	18453 	19977 	21198 	23013 	24174 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO_LRCL	75096 	59671 	46538 	45661 	42584 	39091 	46114 	54567 	57088 	78234 	81926 	85362 	78445 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO_LRCV	17125 	14567 	14473 	14095 	14045 	12726 	13892 	12420 	14287 	24147 	27704 	29089 	21570 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO_LRIA	43282 	35306 	29042 	24390 	27270 	26150 	30332 	34874 	36593 	42915 	45322 	46457 	49395 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO_LROD	11346 	2336 	3082 	2938 	2167 	914 	893 	4002 	3516 	10953 	16632 	19083 	13161 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO_LROP	437603 	408971 	348780 	354996 	371559 	360013 	395831 	406283 	389232 	395264 	431206 	479971 	434921 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO_LRSB	19118 	12622 	9898 	9404 	9851 	9093 	8962 	11314 	13226 	19657 	22814 	24175 	19512 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO_LRSV	39653 	33357 	19135 	20269 	22012 	20704 	21641 	25760 	30871 	40822 	41760 	44133 	33311 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO_LRTM	10400 	5202 	4434 	4244 	4434 	4514 	3738 	1 	6 	4124 	6462 	5822 	5780 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO_LRTR	28051 	17738 	12888 	11977 	11182 	10932 	12178 	15852 	17459 	28635 	31743 	36002 	28526 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESDF	0 	16 	0 	0 	0 	0 	2 	0 	0 	0 	3 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESGG	96826 	96448 	84729 	93966 	91355 	83027 	86730 	90228 	92542 	108602 	133933 	121150 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESKN	9607 	9622 	4884 	5023 	3630 	2571 	3289 	4225 	4697 	5842 	7012 	6433 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESMQ	342 	0 	0 	0 	0 	0 	0 	0 	4 	2 	2 	3 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESMS	17466 	17779 	16348 	17705 	17254 	15435 	17575 	17921 	21642 	21673 	25284 	24062 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESMX	31 	367 	170 	8 	5 	20 	4 	23 	0 	863 	2157 	1714 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESNN	0 	0 	0 	0 	0 	0 	0 	0 	9 	0 	28 	4 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESNQ	0 	56 	6 	0 	0 	0 	0 	8 	8 	0 	0 	2 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESNS	0 	0 	0 	0 	23 	0 	0 	0 	12 	4 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESNU	0 	183 	183 	0 	0 	0 	0 	0 	0 	0 	1 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESNZ	17 	0 	0 	0 	12 	17 	19 	78 	0 	0 	74 	6 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESOE	1934 	1962 	31 	62 	0 	0 	162 	2487 	2148 	2810 	2569 	3072 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESPA	9 	240 	179 	9 	3 	531 	1064 	2 	10 	28 	28 	46 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESSA	501486 	496565 	438379 	473469 	447264 	427262 	471920 	475787 	508517 	574456 	645722 	624401 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESSB	244 	75 	99 	98 	93 	139 	176 	97 	88 	65 	61 	136 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESSV	1 	0 	0 	4 	0 	4 	0 	0 	0 	14 	7 	0 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE_ESTA	21 	46 	0 	7 	2 	8 	5 	14 	34 	23 	74 	26 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SI_LJLJ	79005 	68784 	52937 	50426 	46329 	53361 	58056 	63045 	75557 	82217 	92423 	92382 	87781 	81692 	65944 	61558 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SK_LZIB	109072 	64448 	62712 	68109 	54073 	53957 	65081 	69074 	83923 	133973 	162394 	159489 	123420 	84275 	62565 	68405 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SK_LZKZ	43679 	24497 	20395 	20475 	18838 	20512 	19834 	24442 	29392 	51818 	65135 	62174 	45809 	23155 	17467 	20320 
M,PAS,TOT,NAT,PAS_CRD,AT_LOWG	10578 	10119 	9451 	5650 	3699 	3886 	7550 	7231 	8529 	7715 	7366 	7291 	9041 	9477 	8625 	: 
M,PAS,TOT,NAT,PAS_CRD,AT_LOWI	9034 	9910 	10963 	11392 	10554 	10558 	11501 	7896 	8065 	8572 	8299 	9243 	9046 	9256 	11958 	: 
M,PAS,TOT,NAT,PAS_CRD,AT_LOWK	5676 	5600 	4635 	4600 	3214 	4381 	5011 	4948 	5493 	5738 	6253 	6382 	5755 	5370 	4914 	: 
M,PAS,TOT,NAT,PAS_CRD,AT_LOWL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	: 
M,PAS,TOT,NAT,PAS_CRD,AT_LOWS	0 	35 	0 	0 	0 	0 	0 	0 	0 	0 	43 	0 	0 	0 	0 	: 
M,PAS,TOT,NAT,PAS_CRD,AT_LOWW	25435 	25653 	24995 	21422 	17427 	18782 	24018 	20029 	22243 	21972 	22409 	22831 	24037 	24133 	25495 	: 
M,PAS,TOT,NAT,PAS_CRD,BA_LQSA	0 	0 	0 	118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,BA_LQTZ	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,BE_EBAW	252 	300 	186 	122 	125 	203 	334 	344 	236 	244 	249 	295 	251 	185 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,BE_EBBR	178 	19 	1 	5 	8 	6 	112 	3 	380 	21 	27 	1 	11 	296 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,BE_EBCI	0 	0 	0 	0 	0 	0 	0 	0 	701 	0 	0 	0 	0 	126 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,BE_EBLG	176 	0 	0 	0 	0 	0 	0 	0 	323 	0 	0 	0 	193 	0 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,BE_EBOS	76 	99 	63 	20 	58 	62 	100 	122 	55 	87 	105 	104 	90 	48 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,BG_LBBG	2194 	3 	0 	1045 	0 	737 	228 	0 	62 	2018 	6779 	7827 	2069 	0 	0 	0 
M,PAS,TOT,NAT,PAS_CRD,BG_LBPD	: 	: 	: 	: 	0 	1 	0 	8 	0 	11 	0 	6 	1 	9 	4 	0 
M,PAS,TOT,NAT,PAS_CRD,BG_LBSF	20726 	18484 	17920 	18517 	16420 	15177 	17048 	18294 	18434 	22198 	29576 	30017 	22328 	19308 	16954 	18152 
M,PAS,TOT,NAT,PAS_CRD,BG_LBWN	20008 	18401 	17854 	17343 	15508 	14384 	16737 	18205 	18325 	21029 	23681 	23297 	21318 	19208 	16868 	17999 
M,PAS,TOT,NAT,PAS_CRD,CH_LFSB	14 	4 	16 	189 	168 	13 	12 	20 	7 	33 	13 	10 	357 	701 	5 	20 
M,PAS,TOT,NAT,PAS_CRD,CH_LSGG	38762 	40855 	32350 	40035 	37803 	33294 	39373 	38690 	36313 	40949 	52925 	48249 	37301 	41197 	38150 	45094 
M,PAS,TOT,NAT,PAS_CRD,CH_LSGS	295 	370 	761 	342 	366 	418 	532 	281 	820 	211 	261 	363 	934 	318 	137 	363 
M,PAS,TOT,NAT,PAS_CRD,CH_LSZA	12 	9 	11 	38 	12 	22 	18 	33 	18 	16 	24 	29 	5 	19 	12 	21 
M,PAS,TOT,NAT,PAS_CRD,CH_LSZB	280 	141 	126 	37 	103 	118 	49 	12 	23 	11 	13 	36 	14 	10 	44 	17 
M,PAS,TOT,NAT,PAS_CRD,CH_LSZH	37644 	39697 	32474 	40095 	38041 	33383 	39420 	38732 	35996 	40853 	52971 	48494 	37184 	41158 	37946 	45188 
M,PAS,TOT,NAT,PAS_CRD,CH_LSZR	3 	3 	5 	0 	6 	11 	8 	0 	5 	6 	0 	2 	0 	4 	0 	0 
M,PAS,TOT,NAT,PAS_CRD,CY_LCLK	0 	0 	0 	0 	0 	0 	0 	18 	136 	0 	0 	0 	0 	0 	0 	: 
M,PAS,TOT,NAT,PAS_CRD,CY_LCPH	0 	91 	0 	0 	0 	0 	0 	0 	0 	106 	0 	0 	0 	0 	0 	: 
M,PAS,TOT,NAT,PAS_CRD,CZ_LKCS	5 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,CZ_LKKV	2 	5 	0 	0 	0 	4 	14 	0 	0 	5 	28 	0 	5 	5 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,CZ_LKMT	1206 	127 	30 	94 	29 	27 	1077 	1124 	1012 	4114 	5429 	5143 	4580 	1929 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,CZ_LKPD	301 	1 	0 	0 	0 	0 	0 	0 	0 	45 	375 	0 	17 	181 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,CZ_LKPR	558 	77 	121 	315 	103 	129 	399 	90 	506 	137 	352 	116 	474 	92 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,CZ_LKTB	1 	104 	5 	29 	22 	16 	20 	0 	44 	15 	612 	192 	40 	7 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDB	296635 	282601 	255604 	208240 	177070 	196020 	233393 	253581 	275625 	271688 	265504 	215355 	304916 	302990 	288268 	236651 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDC	43288 	38962 	39372 	35686 	27952 	29042 	35881 	37272 	39544 	39408 	34681 	35154 	42207 	40820 	36670 	33785 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDE	37 	35 	61 	24 	48 	46 	23 	62 	15 	67 	24 	42 	12 	28 	22 	24 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDF	509538 	487106 	447502 	399412 	339902 	363684 	439783 	470111 	497915 	490429 	477122 	455463 	525892 	533938 	512888 	453601 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDG	26568 	27046 	20473 	16728 	13829 	13751 	17309 	21623 	21325 	19172 	21257 	19226 	22647 	23620 	22262 	19645 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDH	280005 	276897 	246638 	209424 	187325 	191596 	227372 	248188 	277964 	264104 	274835 	228067 	281768 	293119 	256796 	224390 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDK	82138 	78013 	77775 	61665 	50323 	54138 	59844 	57882 	63104 	60888 	58989 	43077 	67161 	68278 	61780 	48678 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDL	158009 	154816 	148037 	117034 	107039 	102851 	130694 	137644 	146956 	144641 	150558 	127945 	166159 	174326 	148641 	116617 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDM	590874 	594045 	523190 	453356 	398126 	388139 	469896 	531751 	553463 	541543 	552682 	464752 	600839 	614602 	519340 	456781 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDN	23380 	20922 	24599 	24789 	18773 	22593 	26114 	23989 	26280 	25480 	18665 	22208 	25652 	24362 	24611 	23718 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDP	30292 	28157 	28137 	24634 	18241 	18479 	23271 	28100 	29912 	27611 	22830 	20730 	27834 	29346 	24808 	19315 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDR	3219 	2633 	2721 	1549 	1169 	1501 	2049 	1824 	2711 	2706 	1808 	1721 	3086 	2539 	2731 	1550 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDS	118579 	114057 	108650 	90258 	73552 	80194 	97807 	90149 	114558 	101934 	105798 	84694 	106676 	106675 	97622 	81607 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDV	69617 	67670 	58867 	45242 	39107 	41791 	58816 	61158 	60938 	57986 	60620 	50766 	65410 	63754 	67399 	49942 
M,PAS,TOT,NAT,PAS_CRD,DE_EDDW	60799 	64786 	60326 	50738 	44024 	46523 	55608 	60533 	62022 	58184 	60499 	52818 	64945 	69502 	62979 	53709 
M,PAS,TOT,NAT,PAS_CRD,DE_EDFH	20 	9 	427 	189 	103 	14 	9 	7 	163 	496 	372 	32 	1 	7 	78 	11 
M,PAS,TOT,NAT,PAS_CRD,DE_EDJA	101 	359 	91 	52 	82 	142 	75 	50 	279 	340 	77 	458 	95 	308 	61 	46 
M,PAS,TOT,NAT,PAS_CRD,DE_EDLP	10786 	11035 	7850 	6920 	5920 	5571 	6941 	3494 	3781 	60 	109 	112 	4222 	4802 	3553 	1806 
M,PAS,TOT,NAT,PAS_CRD,DE_EDLV	63 	13 	9 	27 	26 	25 	10 	23 	124 	61 	100 	22 	29 	41 	20 	13 
M,PAS,TOT,NAT,PAS_CRD,DE_EDLW	5230 	6277 	3850 	2122 	3721 	4876 	4689 	553 	121 	109 	108 	377 	383 	366 	281 	314 
M,PAS,TOT,NAT,PAS_CRD,DE_EDNY	2819 	360 	250 	56 	32 	24 	220 	2192 	2716 	2111 	2836 	4893 	2736 	2177 	174 	43 
M,PAS,TOT,NAT,PAS_CRD,DE_EDSB	77 	62 	111 	45 	32 	37 	45 	69 	250 	32 	107 	200 	155 	65 	163 	81 
M,PAS,TOT,NAT,PAS_CRD,DK_EKAH	12438 	12495 	14037 	9895 	10305 	10421 	12479 	13738 	16222 	14372 	7340 	12342 	18137 	17342 	12520 	11109 
M,PAS,TOT,NAT,PAS_CRD,DK_EKBI	4717 	4686 	2905 	3795 	2725 	2701 	3798 	17449 	17908 	18171 	20428 	17856 	17553 	18112 	13494 	11656 
M,PAS,TOT,NAT,PAS_CRD,DK_EKCH	137370 	126438 	116947 	96113 	91751 	86981 	107742 	136754 	152930 	152687 	124079 	146845 	164273 	164346 	142251 	123525 
M,PAS,TOT,NAT,PAS_CRD,DK_EKEB	2203 	2623 	2320 	2230 	2163 	1866 	2252 	2237 	2541 	2636 	2628 	1940 	2241 	2004 	2685 	1970 
M,PAS,TOT,NAT,PAS_CRD,DK_EKKA	488 	428 	476 	602 	223 	236 	346 	261 	335 	292 	0 	0 	0 	11 	11 	0 
M,PAS,TOT,NAT,PAS_CRD,DK_EKRK	250 	319 	57 	49 	43 	23 	79 	321 	405 	455 	1304 	625 	249 	193 	93 	68 
M,PAS,TOT,NAT,PAS_CRD,DK_EKRN	13765 	11160 	10614 	9197 	9036 	8151 	10010 	11094 	12688 	20291 	13016 	13877 	14609 	12332 	10912 	9300 
M,PAS,TOT,NAT,PAS_CRD,DK_EKSB	5198 	6137 	5649 	4978 	3410 	3898 	4871 	5133 	5893 	5475 	3782 	4329 	5730 	5877 	6177 	5238 
M,PAS,TOT,NAT,PAS_CRD,DK_EKTS	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,DK_EKYT	79807 	72652 	67567 	55198 	52082 	47283 	60583 	68583 	77818 	74342 	57688 	73969 	89580 	92558 	82185 	70917 
M,PAS,TOT,NAT,PAS_CRD,EE_EETN	4449 	4571 	4256 	4264 	3527 	3032 	3441 	3755 	4090 	4350 	5030 	4638 	3802 	3874 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGAL	24557 	26253 	27255 	27686 	24694 	23163 	25553 	25764 	25312 	28572 	30237 	28481 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGAV	973842 	872407 	635589 	591418 	507670 	502216 	603544 	729206 	865590 	1008029 	1096464 	1111018 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGBL	594 	0 	0 	99 	0 	0 	0 	0 	68 	383 	789 	846 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGHI	28187 	25629 	22226 	23682 	20940 	18961 	22035 	25300 	24568 	29831 	36238 	41261 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGIK	9035 	5262 	3055 	3240 	2910 	2597 	3131 	4362 	5321 	8729 	9946 	11048 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGIO	8172 	8069 	8151 	7519 	7256 	6786 	8172 	7740 	8200 	8228 	8549 	8283 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGIR	157748 	163423 	148030 	147732 	134189 	121632 	138000 	161414 	162183 	172269 	182326 	187150 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKA	188 	252 	208 	250 	190 	97 	201 	300 	203 	223 	390 	438 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKC	4815 	2330 	1477 	1386 	1396 	1586 	1720 	2284 	2534 	4553 	6162 	5925 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKF	15504 	7826 	3340 	2195 	3712 	3008 	3866 	6265 	8218 	18048 	23793 	23927 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKJ	1036 	636 	179 	160 	135 	124 	259 	414 	539 	1286 	1325 	1432 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKL	2735 	1754 	1583 	1179 	907 	1042 	1409 	1578 	1589 	2194 	2925 	3815 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKO	30305 	29129 	25058 	23528 	21148 	17822 	21996 	28465 	26005 	33073 	39449 	42853 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKP	9649 	6673 	3691 	3622 	3086 	3272 	3694 	5634 	5851 	9701 	12581 	14884 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKR	47897 	35435 	16049 	19430 	9924 	22788 	26078 	31415 	35723 	53425 	58857 	61772 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKS	456 	205 	105 	187 	131 	118 	119 	198 	172 	664 	485 	749 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKV	5390 	5817 	6297 	5960 	1645 	5819 	6699 	6712 	7418 	7501 	7091 	9182 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKY	1817 	1455 	823 	758 	689 	383 	793 	1501 	1246 	1308 	1988 	2487 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGKZ	355 	414 	264 	363 	241 	309 	494 	438 	372 	263 	382 	352 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGLE	3511 	1300 	1161 	1016 	1072 	524 	1153 	1483 	1343 	3497 	4506 	4678 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGLM	11566 	7990 	7158 	7299 	5714 	5225 	7180 	7683 	9617 	15206 	21068 	23895 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGMG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGMK	80824 	46845 	13301 	7738 	6672 	4326 	12463 	29005 	57935 	77953 	85185 	85658 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGML	18573 	8898 	2416 	1839 	1814 	1458 	2504 	4431 	11823 	20731 	22472 	22098 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGMT	36067 	33953 	27368 	27090 	24924 	22757 	27581 	34445 	35892 	38754 	43982 	45258 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGNX	31119 	17443 	5908 	5060 	5610 	4461 	2255 	12676 	21645 	38349 	43148 	43309 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGPA	50765 	29805 	10966 	8829 	8503 	8270 	11131 	19485 	38902 	55719 	67707 	65113 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGPL	3775 	1453 	847 	669 	660 	753 	856 	1293 	1544 	3541 	5365 	5937 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGPZ	2144 	971 	257 	372 	212 	159 	245 	667 	828 	1882 	2343 	2610 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGRP	86060 	87597 	74451 	65127 	56027 	53566 	66860 	81548 	78879 	86089 	94286 	108198 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGRX	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGSA	85534 	82827 	65541 	66928 	60630 	58188 	70305 	76355 	77083 	91182 	103224 	108431 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,EL_LGSK	9081 	3743 	1375 	1219 	1189 	1113 	1656 	3255 	4479 	10346 	12639 	12616 	: 	: 	: 	: 
