freq,unit,schedule,tra_cov,tra_meas,geo\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,SE	1745382 	1637176 	1213974 	1204888 	1042467 	1040648 	1246594 	1507220 	1755108 	1933549 	2072605 	1920981 	: 	: 	: 	: 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,SI	76933 	58577 	36931 	35316 	26274 	27830 	36476 	62522 	76234 	81284 	89176 	93946 	88425 	68872 	39679 	40245 
M,PAS,TOT,INTL_IEU27_2020,PAS_CRD,SK	154489 	88097 	53992 	65590 	51013 	48027 	58382 	101413 	114628 	194066 	262025 	259796 	183531 	137887 	118401 	164124 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,AT	1118180 	1067510 	889616 	1037743 	951785 	920130 	1004522 	1099121 	1031168 	1090546 	1268862 	1362856 	1191811 	1156988 	950457 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,BE	1029141 	1006106 	880654 	945910 	851497 	798252 	856258 	974411 	935404 	1022779 	1248212 	1288498 	1088667 	1103212 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,BG	338146 	246747 	167319 	203121 	235722 	242370 	266588 	245580 	280597 	310008 	349430 	382773 	367016 	289482 	202501 	232179 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,CY	716186 	661476 	306682 	279175 	232914 	221135 	312424 	602687 	649730 	705669 	833665 	923728 	775029 	736417 	369627 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,CZ	746429 	652665 	524744 	596838 	448260 	473678 	546377 	569464 	639132 	766170 	908282 	911721 	805535 	714828 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,DE	8239702 	8655340 	6510460 	6692774 	5785702 	5363880 	6334501 	7759004 	7661377 	7952896 	8827563 	9555676 	8717591 	9320478 	6892288 	7165278 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,DK	1111960 	1100144 	925420 	996543 	876010 	872483 	935846 	1015331 	1045228 	1180836 	1339624 	1279876 	1139540 	1153726 	982924 	1042530 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,EE	75002 	88340 	55788 	57404 	50564 	50065 	64582 	71396 	78039 	77677 	76650 	72390 	79295 	107223 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,EL	2884721 	2100038 	721601 	675799 	609479 	558991 	719957 	1336376 	2385427 	2961460 	3513664 	3670839 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,ES	8684249 	8168570 	5844798 	5784945 	5417799 	5364936 	6341939 	7798537 	8558998 	9060612 	9811783 	10091009 	9110541 	8748290 	6310838 	6273217 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,EU27_2020	50417638 	47800887 	35893260 	37744085 	34360368 	33159097 	37967778 	45261727 	48326637 	51456946 	57153495 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,FI	391840 	398005 	391323 	591867 	447442 	418523 	412538 	403681 	426522 	469606 	517779 	505117 	416969 	433534 	423669 	656710 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,FR	6638014 	6536156 	5333651 	6094099 	5608923 	5429722 	5737702 	6739021 	6806507 	7043646 	7837587 	: 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,HR	474410 	306916 	102380 	87782 	79633 	76138 	93184 	208782 	363727 	497100 	616826 	594389 	478073 	311192 	101958 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,HU	601442 	592735 	523805 	569388 	512742 	496669 	579515 	607243 	599934 	547914 	632977 	672726 	636013 	644890 	572434 	613809 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,IE	1778231 	1700949 	1503090 	1551902 	1334640 	1322121 	1593641 	1769366 	1908975 	1984386 	2123714 	2210529 	1883908 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,IT	5464710 	4927713 	3555658 	3688342 	3528476 	3347129 	4009528 	4959747 	5198542 	5482973 	5893139 	6226466 	5731609 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,LT	202122 	233586 	170702 	158186 	143322 	146414 	166617 	221406 	249775 	226499 	232140 	235018 	229011 	278472 	192852 	173595 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,LU	94383 	103003 	86633 	87032 	75010 	76893 	82554 	108258 	96826 	94528 	110340 	111586 	98116 	115666 	100116 	98736 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,LV	178614 	186155 	155439 	157691 	132121 	129672 	160020 	162181 	175158 	171501 	178854 	177683 	173640 	201179 	157066 	160400 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,MT	261107 	246997 	176680 	150622 	119526 	148077 	193239 	264242 	282054 	283688 	306706 	312824 	314148 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,NL	3137959 	3198178 	2821532 	2961993 	2773657 	2619697 	2896208 	3104487 	3121412 	3090338 	3392408 	3488342 	3133403 	3310701 	2926966 	3064175 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PL	2325574 	2040051 	1544970 	1617218 	1556074 	1573877 	1685954 	1762979 	2126708 	2380428 	2693046 	2787262 	2516278 	2228906 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,PT	2358571 	2183186 	1519224 	1527629 	1391702 	1354045 	1703667 	2149442 	2306083 	2408568 	2576570 	2623303 	2454785 	2286709 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,RO	707205 	619233 	500039 	500721 	518487 	497356 	546500 	581554 	580731 	664728 	726767 	793107 	708795 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SE	627984 	623359 	545008 	590351 	559641 	529014 	580946 	590870 	629711 	714382 	816955 	781055 	: 	: 	: 	: 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SI	79005 	68784 	52937 	50426 	46329 	53361 	58056 	63045 	75557 	82217 	92423 	92382 	87781 	81692 	65944 	61558 
M,PAS,TOT,INTL_XEU27_2020,PAS_CRD,SK	152751 	88945 	83107 	88584 	72911 	74469 	84915 	93516 	113315 	185791 	227529 	221663 	169229 	107430 	80032 	88725 
M,PAS,TOT,NAT,PAS_CRD,AT	25452 	25712 	25001 	21497 	17428 	18780 	24018 	20029 	22138 	21981 	22239 	22832 	24056 	24136 	25496 	: 
M,PAS,TOT,NAT,PAS_CRD,BA	0 	0 	0 	118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,NAT,PAS_CRD,BE	650 	382 	205 	124 	164 	249 	508 	422 	1326 	293 	331 	375 	505 	458 	: 	: 
