year,month,month_id,hicp_restaurants_hotels_index,hicp_restaurants_hotels_yoy,source_dataset_index,source_dataset_yoy,source_scope
2024,11,2024-11,,2.45,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2024,12,2024-12,,3.15,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,1,2025-01,,2.85,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,2,2025-02,,3.15,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,3,2025-03,,2.55,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,4,2025-04,,2.95,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,5,2025-05,,3.25,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,6,2025-06,,4.4,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,7,2025-07,,3.7,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,8,2025-08,,4.3,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,9,2025-09,,4.15,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,10,2025-10,,4.35,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,11,2025-11,,4.75,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
2025,12,2025-12,,3.8499999999999996,,prc_hicp_manr,Eurostat HICP restaurants/hotels YoY proxy only; index pending
