year,month,month_id,tourism_demand_air_passengers_international,source_value_raw,source_dataset,source_geo,source_scope
2023,9,2023-09,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,10,2023-10,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,11,2023-11,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2023,12,2023-12,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,1,2024-01,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,2,2024-02,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,3,2024-03,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,4,2024-04,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,5,2024-05,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,6,2024-06,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,7,2024-07,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,8,2024-08,,,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,9,2024-09,897450.0,897450 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,10,2024-10,839268.0,839268 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,11,2024-11,631578.0,631578 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2024,12,2024-12,592329.0,592329 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,1,2025-01,508129.0,508129 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,2,2025-02,561141.0,561141 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,3,2025-03,725982.0,725982 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,4,2025-04,897538.0,897538 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,5,2025-05,928609.0,928609 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,6,2025-06,924368.0,924368 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,7,2025-07,1036422.0,1036422 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,8,2025-08,1073178.0,1073178 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,9,2025-09,990959.0,990959 ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,10,2025-10,,: ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,11,2025-11,,: ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
2025,12,2025-12,,: ,Eurostat estat_ttr00016,MT,"Monthly international air passengers carried, country-level Malta proxy"
